"","data.pct_covid","data.covid_se","data.pct_covid_unw","data.covid_se_unw","data.sample_size","data.country","data.region","data.iso_code","data.gid_0","data.gid_1","data.survey_date","status"
"49",0.003162,0.002284,0.003067,0.002166,652,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200618","success"
"50",0.010117,0.004511,0.009677,0.003932,620,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200619","success"
"51",0.012165,0.004389,0.014331,0.004743,628,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200620","success"
"52",0.005168,0.003163,0.004342,0.002501,691,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200621","success"
"53",0.006775,0.005274,0.004082,0.002352,735,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200622","success"
"54",0.009308,0.003648,0.010582,0.003721,756,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200623","success"
"55",0.0055,0.003383,0.004213,0.002428,712,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200624","success"
"56",0.007762,0.003569,0.008596,0.003494,698,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200625","success"
"57",0.012304,0.004654,0.013314,0.004408,676,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200626","success"
"58",0.01199,0.004852,0.012698,0.004461,630,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200627","success"
"59",0.002792,0.00201,0.003003,0.00212,666,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200628","success"
"60",0.00486,0.00289,0.004274,0.002462,702,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200629","success"
"61",0.01022,0.003691,0.013139,0.004351,685,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200630","success"
"62",0.009311,0.004188,0.009693,0.003938,619,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200701","success"
"63",0.013247,0.005486,0.012598,0.004426,635,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200702","success"
"64",0.003078,0.001825,0.004666,0.002687,643,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200703","success"
"65",0.007165,0.003965,0.005874,0.002928,681,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200704","success"
"66",0.008281,0.002977,0.011796,0.003909,763,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200705","success"
"67",0.007222,0.00287,0.009434,0.003549,742,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200706","success"
"68",0.001214,0.001214,0.001232,0.001231,812,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200707","success"
"69",0.003637,0.002146,0.004155,0.002394,722,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200708","success"
"70",0.004633,0.002191,0.007704,0.003432,649,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200709","success"
"71",0.010833,0.00438,0.010495,0.003946,667,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200710","success"
"72",0.02056,0.007997,0.012121,0.004259,660,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200711","success"
"73",0.005181,0.002851,0.005917,0.00295,676,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200712","success"
"74",0.017403,0.009725,0.010855,0.003817,737,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200713","success"
"75",0.009471,0.00388,0.01013,0.003809,691,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200714","success"
